                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3533,                 3.0304,                 1.7276,                0.00337,                      1,                0.48299,                0.10676,                 1.2169,                 3.6059,                 2.1205,              3.334e-05,              3.334e-05,              3.334e-05
                      1,                  1.141,                  2.923,                 1.5728,                0.00326,                      1,                0.64601,                0.25268,                 1.0704,                 3.4928,                 1.8411,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      2,                 1.0115,                 2.7432,                 1.4351,                0.00324,                      1,                0.71325,                0.54161,                0.64532,                 3.3289,                 1.2677,             0.00013072,             0.00013072,             0.00013072
                      3,                0.80315,                 2.3272,                 1.2246,                0.00325,                      1,                0.66333,                0.55768,                0.53955,                 3.2112,                 1.1318,             0.00017792,             0.00017792,             0.00017792
                      4,                0.69967,                 2.0811,                 1.3159,                0.00325,                      1,                0.66333,                0.56953,                0.58539,                 2.9777,                 1.1195,             0.00022414,             0.00022414,             0.00022414
                      5,                0.81045,                 1.8081,                 1.1798,                0.00325,                      1,                0.66333,                0.49914,                0.79588,                 2.9809,                 1.3109,             0.00026936,             0.00026936,             0.00026936
                      6,                0.88733,                 1.6082,                 1.4128,                0.00324,                      1,                0.91804,                0.69321,                0.74343,                 2.9894,                 1.2769,              0.0003136,              0.0003136,              0.0003136
                      7,                0.64386,                  1.407,                 1.1255,                0.00324,                      1,                  0.995,                 0.8489,                0.49271,                 2.9768,                 1.0451,             0.00035684,             0.00035684,             0.00035684
                      8,                0.77398,                  1.352,                 1.1859,                0.00324,                      1,                0.82917,                0.66567,                0.56472,                 2.8253,                 1.1515,             0.00039909,             0.00039909,             0.00039909
                      9,                0.75151,                 1.1085,                 1.1925,                0.93768,                    0.5,                0.82917,                0.66997,                0.73975,                 2.6566,                 1.2529,             0.00044036,             0.00044036,             0.00044036
                     10,                0.93058,                 1.2652,                 1.2957,                0.87949,                0.89724,                0.96833,                0.75453,                0.95973,                 2.2838,                 1.5296,             0.00048063,             0.00048063,             0.00048063
                     11,                 1.1536,                 2.0151,                 1.6917,                0.88875,                      1,                  0.995,                0.84454,                0.67418,                 1.8655,                 1.2886,             0.00051991,             0.00051991,             0.00051991
                     12,                0.81795,                 1.8656,                  1.374,                0.96132,                      1,                  0.995,                0.68822,                 1.0257,                 1.7255,                 2.0882,              0.0005582,              0.0005582,              0.0005582
                     13,                0.67661,                 1.3557,                  1.205,                0.94711,                      1,                  0.995,                0.67382,                0.94425,                  1.781,                 1.9337,             0.00059551,             0.00059551,             0.00059551
                     14,                0.79756,                 1.1644,                 1.1593,                0.83487,                      1,                  0.995,                0.75971,                0.72238,                 2.2557,                 1.3126,             0.00063182,             0.00063182,             0.00063182
                     15,                0.76475,                 1.4268,                 1.2089,                0.65275,                      1,                  0.995,                0.81018,                0.76692,                 2.4424,                 1.3057,             0.00066714,             0.00066714,             0.00066714
                     16,                0.83428,                 1.1049,                 1.1485,                0.71034,                      1,                  0.995,                0.73329,                0.83641,                 2.1565,                  1.405,             0.00070147,             0.00070147,             0.00070147
                     17,                0.83472,                 1.2129,                 1.2206,                0.96984,                0.84936,                  0.995,                  0.772,                0.75618,                 1.8654,                 1.3933,             0.00073482,             0.00073482,             0.00073482
                     18,                0.86772,                 1.1858,                 1.2992,                0.97457,                0.94366,                  0.995,                0.84751,                0.69313,                 1.9549,                 1.3324,             0.00076717,             0.00076717,             0.00076717
                     19,                0.74457,                 1.2313,                 1.1745,                0.95077,                      1,                  0.995,                0.78005,                0.74354,                 2.1669,                 1.2965,             0.00079853,             0.00079853,             0.00079853
                     20,                0.76242,                 1.0524,                 1.1295,                0.94574,                0.73834,                0.91333,                0.70546,                0.84089,                 2.2465,                 1.3449,              0.0008289,              0.0008289,              0.0008289
                     21,                 0.6787,                 1.1617,                 1.1172,                0.91027,                   0.75,                0.87637,                0.70935,                0.85917,                 2.0838,                 1.3936,             0.00085828,             0.00085828,             0.00085828
                     22,                0.61383,                 1.3474,                 1.0773,                0.91843,                   0.75,                0.84991,                0.67725,                0.86176,                 2.0879,                 1.4693,             0.00088667,             0.00088667,             0.00088667
                     23,                0.59389,                 1.1612,                 1.1219,                 0.8836,                0.90297,                0.98357,                0.78549,                0.83824,                 1.8711,                 1.4861,             0.00091407,             0.00091407,             0.00091407
                     24,                0.82042,                 1.2698,                 1.4088,                0.78401,                      1,                 0.9125,                0.60932,                0.83642,                 2.0653,                 1.4417,             0.00094048,             0.00094048,             0.00094048
                     25,                0.95829,                 1.1116,                 1.6562,                0.96984,                      1,                  0.995,                0.73033,                0.90775,                 1.8956,                 1.4927,              0.0009659,              0.0009659,              0.0009659
                     26,                0.65987,                 0.8825,                 1.1073,                0.98211,                      1,                  0.995,                0.69995,                0.81043,                 1.7554,                 1.3004,             0.00099033,             0.00099033,             0.00099033
                     27,                0.64332,                0.89679,                 1.1021,                 0.9813,                      1,                  0.995,                0.74357,                0.60902,                 1.6561,                 1.1086,              0.0010138,              0.0010138,              0.0010138
                     28,                0.66167,                 1.0773,                 1.0575,                 0.9813,                      1,                  0.995,                0.74357,                0.60902,                 1.6561,                 1.1086,              0.0010362,              0.0010362,              0.0010362
                     29,                0.76891,                 0.9708,                 1.2597,                0.98554,                      1,                  0.995,                0.71648,                0.62593,                 1.5458,                 1.0991,              0.0010577,              0.0010577,              0.0010577
                     30,                0.60246,                 1.2231,                 1.1089,                0.96808,                0.98827,                  0.995,                0.87112,                0.60043,                 1.2961,                 1.1037,              0.0010781,              0.0010781,              0.0010781
                     31,                0.75692,                 1.1073,                 1.2136,                0.98622,                      1,                  0.995,                0.85402,                0.77505,                 1.2615,                 1.2813,              0.0010976,              0.0010976,              0.0010976
                     32,                0.71569,                0.88264,                 1.1494,                0.98622,                      1,                  0.995,                0.85402,                0.77505,                 1.2615,                 1.2813,              0.0011161,              0.0011161,              0.0011161
                     33,                0.74318,                0.84302,                 1.2018,                0.97136,                      1,                  0.995,                0.89142,                0.74172,                 1.2606,                 1.2897,              0.0011224,              0.0011224,              0.0011224
                     34,                0.81666,                 0.8177,                 1.1339,                0.96134,                      1,                  0.995,                0.92707,                0.67889,                 1.2098,                 1.1787,              0.0011224,              0.0011224,              0.0011224
                     35,                0.91524,                 1.3074,                 1.5089,                0.98729,                      1,                  0.995,                0.87732,                0.63665,                 1.2537,                 1.1317,              0.0011059,              0.0011059,              0.0011059
                     36,                0.80349,                 1.8291,                  1.291,                0.98729,                      1,                  0.995,                0.87732,                0.63665,                 1.2537,                 1.1317,              0.0010894,              0.0010894,              0.0010894
                     37,                0.74193,                0.91964,                 1.1262,                0.98365,                0.99942,                  0.995,                0.84605,                 0.6727,                 1.5248,                 1.1874,              0.0010729,              0.0010729,              0.0010729
